# of vertices,# of edges,ms for layout,norm(meanPos(vs)),norm(meanVel(vs)),maxPos(vertexSample),minPos(vertexSample),f0,epsR,K,d
100,100,7,15.616691233695663,2.4332844825337445,314.5373579955834,12.789200706898164,1,0.001,1,0.85
100,100,7,22.730377536472236,2.1562919238013216,433.2392768052387,11.877210097468689,1,0.001,1,0.85
100,100,7,17.377641023417706,1.7098967798245075,965.32699260757,13.322819326639518,1,0.001,1,0.85
100,100,8,15.015573757627728,1.5003557397706537,323.86870115416815,12.643427398065729,1,0.001,1,0.85
100,100,8,4.668316721142869,2.5559835637103827,985.052535119981,14.108514945164817,1,0.001,1,0.85
100,100,6,6.406594895949072,1.9122043085900249,994.91532801896,12.617927748601682,1,0.001,1,0.85
100,100,7,7.3385083330935466,1.493748629263099,335.82392996488886,12.059232854899394,1,0.001,1,0.85
100,100,7,22.886694775743386,4.172752985707416,459.98590361144915,15.508787236994646,1,0.001,1,0.85
100,100,8,7.362111131200105,1.204119177666843,1024.5037898849882,16.905628208864833,1,0.001,1,0.85
100,100,7,16.137468540255476,1.2163632710286543,354.1313454745174,14.446613349190851,1,0.001,1,0.85
100,100,7,29.907704489105647,3.3295913600519715,466.177217312346,15.970911220600616,1,0.001,1,0.85
100,100,7,4.958495842460911,1.5106811966859288,1054.092370967488,16.42594062696399,1,0.001,1,0.85
100,100,7,23.964946963248046,0.9427416222350873,1063.9552566652942,18.6272149846065,1,0.001,1,0.85
100,100,9,7.313410853009962,1.0124013696692633,358.9928828673484,15.854315940684263,1,0.001,1,0.85
100,100,8,25.06959044638326,3.4791157015928382,371.1512219781841,18.834484174558767,1,0.001,1,0.85
100,100,8,5.373743740948718,1.9429080917185628,488.65056997873046,16.323039589453543,1,0.001,1,0.85
100,100,7,16.57509522777027,1.4295719783093395,493.14544226548765,16.934048089941967,1,0.001,1,0.85
100,100,7,20.692951234631337,1.5284913519657395,1113.2698650287502,12.345091653091083,1,0.001,1,0.85
100,100,9,24.439429315993312,1.2237697711330064,509.0280076653887,17.97559531852039,1,0.001,1,0.85
100,100,6,33.26983888135008,2.4832165943980113,1132.9957884093917,14.941504452684045,1,0.001,1,0.85
100,100,7,20.738263262954625,3.3730228342177977,517.9455709657426,20.009486684130085,1,0.001,1,0.85
100,100,7,26.66375150205701,1.5854612865851045,522.4044392561152,17.49400903259521,1,0.001,1,0.85
100,100,7,19.835714696654144,2.189778675923791,1162.5847542975207,16.81163772672232,1,0.001,1,0.85
100,100,8,13.567039217038333,0.9007485517431214,1172.4477637353548,19.26867104954669,1,0.001,1,0.85
